Stock Name,Stock Code,Note,Listing Date,Lot Size,Market Cap(B),Offer Price,Listing Price,Over-subscription Rate(x),Lots for 1 Lot,1-Lot Success Rate,Last Price,Debut Day Chg%,Accumulated Chg%
NANHUA FUTURES,02691.HK,Sink Below Listing Price,2025/12/22,500,8.61-11.48,12.0,12.0,0.9,2 lot,74.6%,9.91,-24.170%,-17.417%
IMPRESSION DHP,02695.HK,Sink Below Listing Price,2025/12/22,"1,000",0.50-0.59,3.6,3.6,"3,396.5",,0.8%,2.01,-35.280%,-44.167%
BENQ HOLDING,02581.HK,Sink Below Listing Price,2025/12/22,500,2.91-3.64,9.34,9.34,5.3,8 lot,50.0%,3.35,-49.460%,-64.133%
B&K CORP-B,02396.HK,Sink Below Listing Price,2025/12/22,200,4.49-6.00,38.2,38.2,791.0,1250 lot,2.5%,5.96,-29.320%,-84.398%
CIDI,03881.HK,Sink Below Listing Price,2025/12/19,10,,263.0,263.0,21.6,4 lot,50.0%,24.2,-13.690%,-90.798%
ZHIHUI MINING,02546.HK,,2025/12/19,"1,000",2.00-2.20,4.51,4.51,"5,247.2",,1.0%,16.43,+90.690%,+264.302%
HASHKEY HLDGS,03887.HK,Sink Below Listing Price,2025/12/17,400,16.46-19.22,6.68,6.68,392.7,250 lot,10.0%,4.19,-0.150%,-37.275%
GUOXIA TECH,02655.HK,,2025/12/16,100,,20.1,20.1,"1,889.7",2500 lot,10.0%,27.42,+117.910%,+36.418%
JD INDUSTRIALS,07618.HK,,2025/12/11,200,34.18-41.72,14.1,14.1,59.5,50 lot,35.0%,14.3,0.000%,+1.418%
BAO PHARMA-B,02659.HK,Sink Below Listing Price,2025/12/10,100,,26.38,26.38,"3,525.3",,7.0%,25.24,+138.820%,-4.321%
NOVOSENSE,02676.HK,,2025/12/08,100,,116.0,116.0,24.3,25 lot,4.3%,155.4,-4.310%,+33.966%
ABLE DIGITAL,02687.HK,,2025/12/08,100,4.15-5.07,67.5,67.5,"4,812.4",,1.0%,140.6,+87.260%,+108.296%
TIANYU SEMI,02658.HK,Sink Below Listing Price,2025/12/05,50,,58.0,58.0,59.6,30 lot,10.0%,45.0,-30.170%,-22.414%
XIAO NOODLES,02408.HK,Sink Below Listing Price,2025/12/05,500,4.01-5.00,7.04,7.04,425.0,400 lot,2.0%,4.19,-27.840%,-40.483%
LEMO SERVICES,02539.HK,Sink Below Listing Price,2025/12/03,100,1.50-2.22,40.0,40.0,"7,323.3",,0.8%,16.47,+36.250%,-58.825%
JINYAN KAOLIN,02693.HK,Sink Below Listing Price,2025/12/03,500,,7.3,7.3,"8,284.3",,0.0%,3.86,+2.190%,-47.123%
HAIWEI ELEC,09609.HK,Sink Below Listing Price,2025/11/28,200,,14.28,14.28,"5,425.3",,1.0%,5.86,-22.970%,-58.964%
QUANTGROUP,02685.HK,,2025/11/27,500,4.53-5.05,9.8,9.8,"9,365.3",,0.6%,17.39,+88.780%,+77.449%
CHUANGXIN IND,02788.HK,,2025/11/24,500,21.12-22.80,10.99,10.99,446.2,180 lot,10.0%,24.8,+32.760%,+125.660%
CNGR,02579.HK,,2025/11/17,200,35.44-39.40,34.0,34.0,26.9,25 lot,10.0%,41.82,-0.120%,+23.000%
SOFTCARE,02698.HK,,2025/11/10,200,14.99-16.23,26.2,26.2,"1,812.8",3000 lot,1.0%,28.9,+25.950%,+10.305%
